UsageData 2026-05-06,,,,,,,,,
,,,,,,,,,
ApplicationName,Functionality,cadTool,ProductLine,Status,Region,StartDate,StopDate,isProd,isVDI
SMART CVT,INNER VOLUME,CATIA,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
SMART CVT,INNER VOLUME,CATIA,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
POINT CHART,TUBE,CATIA,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
POINT CHART,TUBE,CATIA,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
POINT CHART,TUBE,CATIA,FLUIDS,Success,NA,1/7/2025,1/7/2025,TRUE,TRUE
SMART CVT,INNER VOLUME,CATIA,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
SMART CVT,INNER VOLUME,CATIA,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
SMART CVT,INNER VOLUME,CATIA,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
SMART CVT,INNER VOLUME,CATIA,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
SMART CVT,INNER VOLUME,CATIA,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
SMART CVT,INNER VOLUME,CATIA,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
POINT CHART,TUBE,CATIA,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
POINT CHART,TUBE,CATIA,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
SMART CVT,INNER VOLUME,CATIA,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
SMART CVT,INNER VOLUME,CATIA,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
POINT CHART,TUBE,CATIA,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
SMART CVT,INNER VOLUME,CATIA,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
SMART CVT,INNER VOLUME,CATIA,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
SMART CVT,INNER VOLUME,CATIA,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/8/2025,1/8/2025,TRUE,TRUE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,FLUIDS,Success,NA,1/9/2025,1/9/2025,TRUE,TRUE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,FLUIDS,Success,NA,1/9/2025,1/9/2025,TRUE,TRUE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,FLUIDS,Success,NA,1/9/2025,1/9/2025,TRUE,TRUE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,FLUIDS,Success,NA,1/9/2025,1/9/2025,TRUE,TRUE
DESIGN TOOLKIT,3D TEXT,CATIA,FLUIDS,Success,NA,1/9/2025,1/9/2025,TRUE,TRUE
DESIGN TOOLKIT,MOLDED PUSH PINS,CATIA,FLUIDS,Success,NA,1/9/2025,1/9/2025,TRUE,TRUE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,EU,1/9/2025,1/9/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,SEALING,Success,EU,1/10/2025,1/10/2025,FALSE,FALSE
NOTES UTILITY,2D TITLEBLOCK,NX,SEALING,Success,EU,1/10/2025,1/10/2025,FALSE,FALSE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/10/2025,1/10/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/10/2025,1/10/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/10/2025,1/10/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/10/2025,1/10/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/10/2025,1/10/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/10/2025,1/10/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/10/2025,1/10/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/10/2025,1/10/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/10/2025,1/10/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/10/2025,1/10/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/11/2025,1/11/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/11/2025,1/11/2025,FALSE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/11/2025,1/11/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/11/2025,1/11/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/13/2025,1/13/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/13/2025,1/13/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,EU,1/14/2025,1/14/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,EU,1/14/2025,1/14/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,EU,1/14/2025,1/14/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,EU,1/14/2025,1/14/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,EU,1/14/2025,1/14/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,EU,1/14/2025,1/14/2025,TRUE,TRUE
POINT CHART,TUBE,NX,SEALING,Success,NA,1/15/2025,1/15/2025,TRUE,TRUE
POINT CHART,XYZ TABLE,NX,SEALING,Success,NA,1/15/2025,1/15/2025,TRUE,TRUE
POINT CHART,XYZ TABLE,NX,SEALING,Success,NA,1/15/2025,1/15/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/15/2025,1/15/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/15/2025,1/15/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/16/2025,1/16/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/16/2025,1/16/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/16/2025,1/16/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/16/2025,1/16/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/16/2025,1/16/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/16/2025,1/16/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,NA,1/16/2025,1/16/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,EU,1/17/2025,1/17/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,EU,1/17/2025,1/17/2025,TRUE,TRUE
NOTES UTILITY,2D TITLEBLOCK,NX,FLUIDS,Success,EU,1/17/2025,1/17/2025,TRUE,TRUE
